"用户ID","特征","清洁效率","耗材","对比","时间"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:85%\n日均清扫:45㎡\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余60天\nHEPA滤网:剩余40%","优于65%同面积用户（清洁频率更高）","2025-01"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:88%\n避障失败:2次/周（电线缠绕）","边刷磨损:中度\n尘盒清理:每3天","拖地功能使用率低于同类30%","2025-01"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:92%\n地毯增压使用:15次/月","胶刷更换:剩余25天\n尘盒容量:每日清理","毛发处理效率前15%","2025-01"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:8次/月\n自动回充成功率:89%","主刷缠绕:严重\n滤网更换:急需","建议升级吸力至2500Pa","2025-01"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:95%\n定时清扫未使用","电池衰减:25%\n水箱未激活","急需语音控制功能","2025-01"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:3次/周\n玩具避障率:76%","边刷更换:2次/季度\n集尘袋消耗:1个/月","建议增加机械臂配件","2025-01"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:90%\n日均清扫:35㎡\n沿边清扫无死角","滤网寿命:剩余80天\n尘盒清理:每5天","清洁效率优于70%小户型用户","2025-01"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:86%\n餐桌区域漏扫:1次/天\n避障成功率:90%","主刷磨损:轻度\n水箱加水:每日2次","大理石地面清洁效果低于同类15%","2025-01"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:85%\n自动回充成功率:92%","胶刷缠绕:中度\n滤网更换:剩余30天","养宠家庭中清洁效率处于中等水平","2025-01"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:82%\n手动辅助清扫:3次/天\n定时清扫使用率:60%","电池衰减:15%\n边刷寿命:剩余45天","大户型中操作便捷性低于同类20%","2025-01"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:88%\n日均清扫:48㎡\n漏扫区域:无（沙发底部垫高）","主刷寿命:剩余45天\nHEPA滤网:剩余25%","优于75%同面积用户（清洁无死角）","2025-04"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:89%\n避障失败:1次/周（电线缠绕）","边刷磨损:中度\n尘盒清理:每3天","拖地功能使用率提升至同类平均水平","2025-04"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:93%\n地毯增压使用:17次/月","胶刷更换:剩余45天\n尘盒容量:每2天清理","毛发处理效率前10%","2025-04"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:6次/月\n自动回充成功率:90%","主刷缠绕:中度+\n滤网寿命:剩余60天","清洁效率优于同类养宠家庭20%","2025-04"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:85%\n定时清扫使用率:5次/周","电池衰减:28%\n水箱使用率:50%","语音控制功能已安装+操作熟练度提升","2025-04"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层失败:1次/周\n玩具避障率:85%","边刷寿命:剩余60天\n集尘袋消耗:0.8个/月","清洁效率优于80%大户型多层用户","2025-04"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:93%\n日均清扫:38㎡\n沿边清扫无死角","滤网寿命:剩余65天\n尘盒清理:每5天","清洁效率优于80%小户型用户","2025-04"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:90%\n避障成功率:95%","主刷寿命:剩余70天\n水箱加水:每日1次","大理石地面清洁效果优于同类10%","2025-04"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:90%\n自动回充成功率:95%","胶刷缠绕:轻度\n滤网寿命:剩余50天","养宠家庭中清洁效率前20%","2025-04"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:87%\n手动辅助清扫:1次/天\n定时清扫使用率:75%","电池衰减:18%\n边刷寿命:剩余30天","大户型中操作便捷性优于同类10%","2025-04"
"1001","65㎡公寓 | 单身 | 木地板","覆盖率:90%\n日均清扫:50㎡\n无漏扫区域","主刷寿命:剩余30天\nHEPA滤网:剩余10%","优于85%同面积用户（清洁效率满分）","2025-12"
"1002","70㎡公寓 | 情侣 | 瓷砖","覆盖率:92%\n避障成功率:100%","边刷寿命:剩余40天\n尘盒清理:每5天","拖地功能使用率优于同类15%","2025-12"
"1003","90㎡ | 1狗 | 短毛地毯","毛发清理:95%\n地毯增压使用:20次/月","胶刷寿命:剩余30天\n尘盒清理:每2天","毛发处理效率前5%","2025-12"
"1004","85㎡ | 2猫 | 混合地面","猫砂泼洒处理:5次/月\n自动回充成功率:95%","主刷寿命:剩余40天\n滤网寿命:剩余45天","清洁效率优于同类养宠家庭35%","2025-12"
"1005","120㎡ | 老人 | 防滑砖","手动操作占比:60%\n定时清扫使用率:7次/周","电池衰减:30%\n水箱使用率:90%","语音控制功能深度使用+清洁效率提升30%","2025-12"
"1006","150㎡别墅 | 儿童 | 多层","跨楼层成功率:100%\n玩具避障率:95%","边刷寿命:剩余45天\n集尘袋消耗:0.7个/月","清洁效率优于95%大户型多层用户","2025-12"
"1007","55㎡一居 | 独居 | 复合地板","覆盖率:95%\n日均清扫:40㎡\n无漏扫区域","滤网寿命:剩余50天\n尘盒清理:每5天","清洁效率优于90%小户型用户","2025-12"
"1008","100㎡三居 | 三口之家 | 大理石","覆盖率:92%\n避障成功率:98%","主刷寿命:剩余55天\n水箱加水:每日1次","大理石地面清洁效果优于同类20%","2025-12"
"1009","80㎡两居 | 养宠 | 仿实木","宠物毛发清理:93%\n自动回充成功率:98%","胶刷寿命:剩余35天\n滤网寿命:剩余35天","养宠家庭中清洁效率前10%","2025-12"
"1010","130㎡四居 | 三代同堂 | 通体砖","覆盖率:90%\n手动辅助清扫:0次/天\n定时清扫使用率:90%","电池衰减:20%\n边刷寿命:剩余15天","大户型中操作便捷性优于同类20%","2025-12"
